"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2007-Q1","Q1-2007","PC","Percentage","0","Units",,,0.639626644,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2007-Q2","Q2-2007","PC","Percentage","0","Units",,,0.968907263,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2007-Q3","Q3-2007","PC","Percentage","0","Units",,,0.419854575,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2007-Q4","Q4-2007","PC","Percentage","0","Units",,,0.113617046,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2008-Q1","Q1-2008","PC","Percentage","0","Units",,,0.076640567,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2008-Q2","Q2-2008","PC","Percentage","0","Units",,,0.361671897,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2008-Q3","Q3-2008","PC","Percentage","0","Units",,,0.820044012,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2008-Q4","Q4-2008","PC","Percentage","0","Units",,,-1.159518489,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2009-Q1","Q1-2009","PC","Percentage","0","Units",,,-2.259686183,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2009-Q2","Q2-2009","PC","Percentage","0","Units",,,-1.091258596,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2009-Q3","Q3-2009","PC","Percentage","0","Units",,,0.44993852,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2009-Q4","Q4-2009","PC","Percentage","0","Units",,,1.166157024,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,1.206341487,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,0.523260909,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,0.708694922,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,1.117505154,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,0.755347044,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,0.19480651,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,1.379639562,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,0.78751324,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,0.064087343,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2012-Q2","Q2-2012","PC","Percentage","0","Units",,,0.326163737,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2012-Q3","Q3-2012","PC","Percentage","0","Units",,,0.136217106,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2012-Q4","Q4-2012","PC","Percentage","0","Units",,,0.20678147,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,0.897004855,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,0.580357191,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,0.814973402,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,1.050559545,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,0.163447761,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,0.913329104,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,0.959051308,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,0.691975668,,
